Topic,Difficulty,Mean,Median,Variance,Minimum,Maximum,Low,Typical,High,LeftRangeWidth,RightRangeWidth
Greedy,0,64.33,65.8,234.31,19.3,87.5,30,35,40,9.2814,4.3313
Greedy,1,51.51,50.9,224.81,17.3,89.5,40,55,70,2.2385,2.5716
Greedy,2,44.19,43.35,235.88,9.9,76.3,70,85,100,2.2285,2.1952
Combinatorics,0,81.3,79.6,22.73,76.5,87.8,15,25,35,0.3097,0.8192
Combinatorics,1,50.18,51.0,282.38,20.7,78.8,35,45,50,6.0479,2.7772
Combinatorics,2,38.99,37.6,234.56,8.5,64.9,65,75,95,1.4543,2.7273
Probability and Statistics,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Probability and Statistics,1,50.64,45.9,78.49,42.1,66.6,45,55,65,0.3796,2.0679
Probability and Statistics,2,60.2,60.2,0.0,60.2,60.2,80,80,100,0.0,0.0
Shortest Path,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Shortest Path,1,45.42,39.9,172.2,27.8,68.7,40,45,55,1.2088,5.7485
Shortest Path,2,50.69,51.8,162.92,25.7,70.6,65,75,100,1.0436,1.8781
Hash Function,0,61.95,65.85,57.1,48.9,67.2,15,25,35,1.6933,0.1349
Hash Function,1,51.21,51.0,322.48,18.5,86.5,45,55,60,6.487,3.5465
Hash Function,2,35.08,33.0,141.49,16.7,58.8,70,75,90,1.0859,5.1497
Geometry,0,59.09,61.3,228.43,37.4,82.4,5,25,35,2.3876,1.0545
Geometry,1,50.65,48.0,172.88,25.6,86.4,35,40,60,1.1194,7.6647
Geometry,2,36.53,34.6,92.25,21.0,52.0,55,80,100,0.6797,0.6957
Dynamic Programming,0,62.28,64.3,126.68,39.0,79.0,35,35,40,5.0499,1470.0
Dynamic Programming,1,49.75,50.25,182.61,13.5,82.8,35,65,75,3.6713,1.0846
Dynamic Programming,2,44.27,44.5,197.34,13.3,81.9,75,85,100,2.0786,3.7363
Counting,0,67.35,70.7,202.86,17.5,89.3,15,25,35,5.3147,1.8581
Counting,1,53.6,54.0,220.97,23.4,83.1,40,50,55,6.1078,2.9071
Counting,2,41.44,41.35,216.0,18.4,64.5,65,75,100,0.9176,2.3127
Prefix Sum,0,70.97,72.1,156.14,46.6,87.1,10,25,35,2.5475,0.9993
Prefix Sum,1,49.6,48.4,237.2,19.5,86.0,40,45,60,1.9254,7.505
Prefix Sum,2,40.18,37.2,222.28,13.3,74.4,65,80,90,2.3876,2.4783
Strongly Connected Component,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Strongly Connected Component,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0
Strongly Connected Component,2,57.2,59.7,87.5,44.7,67.2,70,80,95,0.9993,0.7493
Rolling Hash,0,66.1,66.1,0.0,66.1,66.1,20,30,45,0.0,0.0
Rolling Hash,1,49.13,51.0,178.03,18.5,67.3,45,55,65,3.2468,1.6284
Rolling Hash,2,34.84,33.0,116.92,16.7,58.8,80,85,95,1.6284,5.1497
Recursion,0,59.5,54.4,132.59,47.2,77.9,20,30,40,0.7193,2.3477
Recursion,1,57.8,60.1,248.38,28.2,82.8,40,55,70,2.1252,1.5123
Recursion,2,44.75,43.2,177.76,28.5,70.6,80,85,100,0.9793,5.4691
Memoization,0,62.97,63.7,59.18,53.2,72.0,25,30,35,2.0958,1.6567
Memoization,1,49.79,47.4,283.76,29.9,82.8,40,50,55,3.493,3.5365
